Contenido,Título del vídeo,Hora de publicación del vídeo,Duración,Visualizaciones,Tiempo de visualización (horas),Suscriptores,Impresiones,Porcentaje de clics de las impresiones (%)
Sp-_r1_0GLo,"Colores del Mes: Roble Moro, Sahara, Colina, Santorini, Negro, Cedro Poro👷‍♂️ ¡Atención carpinteros!","Dec 12, 2025",47,1,0.0002,0,10,0
zp6k5Biu2gw,🎨✨ ¡Llegó la nueva colección de Aglomerado Cotopaxi a Don Tablero!,"Sep 3, 2025",36,1,0.0028,0,47,2.13
nLCAhtY-CQA,🎨🔥 Dale vida a tus muebles con colores que marcan la diferenciaEn Don Tablero,"Mar 6, 2026",31,1,0.0028,0,18,0
86puaAWwXPI,¿Panel Warhol o Panel Flex?  #dontablero,"Jan 15, 2026",51,,,,6,0
00JlXWMzVqg,NUEVA COLECCION COTOPAXI #carpinteros #calidad #automobile,"Sep 23, 2025",32,,,,8,0
2PI65YUne3s,🎨 Color del mes | ALASKA,"Jan 12, 2026",32,,,,5,0
J14xULNlE8k,🪵✨ Aglomerados Cotopaxi #DonTablero #AglomeradosCotopaxi #CalidadEcuatoriana #MueblesConEstilo,"Nov 20, 2025",31,,,,13,0
8DEa2PtptOw,"🏍️ ¡Este agosto, tus compras en Don Tablero te pueden llevar directo a una moto 0 km!🎫","Aug 2, 2025",17,,,,6,0
ue4ICLk8mAI,TODO PORTAFOLIO HERRAJES #carpinteros #muebles #calidad,"Sep 23, 2025",34,,,,12,0
FSHcxEpwegA,Actualizamos nuestros puntos de venta.,"Sep 3, 2025",24,,,,5,0
8wQCaJ0qCzc,RANURADOS COLRO DEL MES,"Aug 26, 2025",23,,,,28,0
4DSD8VkDEKw,Herraje del mes en Don TableroEste octubre .#DonTablero #HerrajeDelMes #Tiraderas #MueblesConEstilo,"Oct 13, 2025",22,,,,5,0
AIChH4aozSw,🔧✨ Herraje del Mes – Zócalos  .#DonTablero #HerrajeDelMes #Zócalos #Herrajes,"Nov 10, 2025",41,,,,7,0
fV2LWoTTgBU,🎨✨ Color del Mes: Encino Marrón!#DonHerrajes #ColorDelMes #EncinoMarrón #DiseñoConEstilo,"Oct 13, 2025",18,,,,8,0
zuKp0F3zQBQ,Armando un mueble con Don Tablero.#DonTablero #MueblesConEstilo #TablerosDeCalidad #ArmadoDeMuebles,"Oct 13, 2025",46,,,,7,0
5pgEOYTvK2k,"✨ ¡Este mes, tus muebles se mueven mejor que nunca! Arranca el año con precisión y suavidad","Jan 2, 2026",62,,,,6,0
OhF7KOYgKiY,🔧✨ Herraje del Mes en Don Herrajes.#DonHerrajes #HerrajeDelMes #Tiraderas,"Oct 13, 2025",20,,,,5,0
7LSb5wzuHE4,Color del mes DT,"Feb 9, 2026",35,,,,9,0
U6yQeJeUp3M,"Diciembre – Organizadores: Bandejas extraíbles, bandeja smart, bajo fregadero, riñonero✨","Dec 5, 2025",35,,,,9,0
queBIVcd8SM,✨ Color del mes: Encino Marrón ✨,"Sep 3, 2025",24,,,,12,0
